initial:url,initial:path,initial:filetype,initial:md5,initial:sha256,initial:reference,vt:md5,vt:sha256,vt:reference,ha:tags,ha:filetype,ha:hosts,ha:domains,ha:hashes,ha:imphash,ha:reference
hxxp://bonakma[.]com/wp-content/Mar-16-08-55-17/Quantum-View/,/wp-content/Mar-16-08-55-17/Quantum-View/,application/msword,de3a69f7c89fa972e2b7f95fa521252f,d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b,downloaded from site,de3a69f7c89fa972e2b7f95fa521252f,d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b,hxxps://www[.]virustotal[.]com/#/file/d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b/detection,,application/msword,103.47.192.52 | 69.94.34.189 | 191.242.178.46 | 174.36.13.237 | 107.161.160.30 | 203.198.129.4 | 61.19.254.63 | 208.84.149.100 | 162.212.157.225 | 198.12.152.123,demo3.icolor.vn,6aedc58f42047f813c0b024af3ed9997806260b51a202d72d27b0f4c87d74411 (~$1250665-XSD-FHVFB.doc) | e1f37d99490cd216b2fc6fdd9a161b1fa63273f7d0a14de4fff287d8286ca2b0 (~WRD0000.tmp) | e882bd06776f4b23967d0a1fdc61c9b9b329f60f178c6a8fbc80634a115958a4 (521250665-XSD-FHVFB.LNK) | 3c6fbca401798545d667e57e9457a761abfbd63043335c2d618d1e797114031e (index.dat) | 6aedc58f42047f813c0b024af3ed9997806260b51a202d72d27b0f4c87d74411 (~$Normal.dotm) | b215da65ddda81ab7812c3fcb86ea0092364b8763a45060032e230fea321508f (MZVM2119FHLGMWVSMQ0X.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{BA4BA6F5-A6AC-4D28-A759-203C6ABC4D3B}.tmp) | a6df59fae107a434f3b7fde8088dd447d7c2b144f940b7f87dbafbae1f5d16f7 (139888.exe) | 9fe42bf1528d43fb5623a9f9b012f433d5cbfcac489d8e955b3e7e67878cdc91 (~WRD0001.tmp),Unknown,https://www.hybrid-analysis.com/sample/d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b?environmentId=100
hxxp://bonakma[.]com/wp-content/Mar-16-08-55-17/Quantum-View/,/wp-content/Mar-16-08-55-17/Quantum-View/,application/msword,de3a69f7c89fa972e2b7f95fa521252f,d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b,downloaded from site,de3a69f7c89fa972e2b7f95fa521252f,d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b,hxxps://www[.]virustotal[.]com/#/file/d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b/detection,,application/msword,88.221.144.11 | 103.47.192.52 | 78.108.80.117 | 92.122.122.136 | 78.46.65.203,demo3.icolor.vn | balsammed.net | babyfriendlyworld.com,112c987112ab18cc6f8b7c26dd84d3d6ec85a14e1fc1382b59725dc46235ffe2 (262215.exe) | 3882a3e04d6cf66707b31c8cb14a7c9fe512d10dd355f97a37e8666270f6e17d (~$16296-AYLK-SZXU.doc) | 057c42311e3ef169beae894c79d15e44c50cd596c332398ff8c3d5e49fcda536 (6816296-AYLK-SZXU.LNK) | 84d69dc76d87121497b6bd6043ecd8f6e0dca03c256a8649696c3d63d39ef56e (index.dat) | 3882a3e04d6cf66707b31c8cb14a7c9fe512d10dd355f97a37e8666270f6e17d (~$Normal.dotm) | c16beb21477b10539aa717b9823b2805c20d2f6e1de55b66c2a0fb51c22a064e (5UU2J4J80QNNNVCLV8RZ.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{12FEA05B-2AC9-4EB7-891D-ED88096FC973}.tmp),Unknown,https://www.hybrid-analysis.com/sample/d32da5456fca9b4719d3eda37f208ac905862397f4da971e791e463d1344056b?environmentId=120
hxxp://climateinsulationlimited[.]com/xerox/New-invoice-76341158/,/xerox/New-invoice-76341158/,application/msword,cc359a879e748cfb95d1d097c9671039,b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5,downloaded from site,cc359a879e748cfb95d1d097c9671039,b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5,hxxps://www[.]virustotal[.]com/#/file/b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5/detection,banker | emotet,application/msword,198.187.29.106 | 173.255.217.114,cohomesdenver.com,3ec02f673c9f4fed392bbe1340e3e7cfd2656cbf7df5db964a18baa319ee1808 (239351.exe) | d5e5ca78483caa00edfbe67e82f238b68363d557a2766fcb7ef4ef33e466934a (~$1b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5.doc) | cb8e259ea530346be81dc8eb616382d4792f172ab0df70f54c96b18388c6aaa0 (b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5.LNK) | 61d2c751005e7d415d8ffb05bbd8bc3dcf3f18689bf3fc86f33727207bf5e7f2 (index.dat) | d5e5ca78483caa00edfbe67e82f238b68363d557a2766fcb7ef4ef33e466934a (~$Normal.dotm) | 941f8aa8d5c4f3eaf364a22989b1270f9a1c46e771b7b3a1640402f4fa2673a0 (FHV8WW9079890SPZYZ31.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{9FB35279-D6D8-40E0-8D24-949A3EF7EA35}.tmp),Unknown,https://www.hybrid-analysis.com/sample/b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5?environmentId=100
hxxp://climateinsulationlimited[.]com/xerox/New-invoice-76341158/,/xerox/New-invoice-76341158/,application/msword,cc359a879e748cfb95d1d097c9671039,b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5,downloaded from site,cc359a879e748cfb95d1d097c9671039,b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5,hxxps://www[.]virustotal[.]com/#/file/b01b4536b42112800c59916770b78df94bd5e860c2de228215e7d54f18e35be5/detection,,,,,,,file never seen
hxxp://digital[.]syd[.]fr/Invoice-receipt/,/Invoice-receipt/,application/msword,b711729dc47dfe7971cdd721f1f946fd,45e634eb141a5588de9ff361ddbb0520e2867e54a021209b6a475031ca05780f,downloaded from site,,,file never seen,banker | emotet,application/msword,173.201.1.1 | 103.233.58.6 | 192.169.195.219 | 37.128.146.91 | 54.227.38.29 | 37.97.239.30 | 61.19.254.63 | 139.59.103.116 | 203.198.129.4,lacure-maroc.com,070bd11d546ff0c12c89b57190b92a2dbc942c7bcd01b0274758552272e5b2b3 (161320.exe) | 75acc9c7c623f81ef356025d39695b3ae53c8430ba5dd5060ec5a4547d8df95e (Document needed.LNK) | 9b14fabc13873eee3789006d13004d66a0ad33647dfb49bd7f0bd15f80b11442 (index.dat) | e0519a62a2eaeadca3b33f2c1e3f749eca1a6477aa9fbfb78ace112834efd386 (~$Normal.dotm) | ac2b5faa8bd9daf58b5c36d639bd21032f7f9234a59733b2e69c067e18ebeee0 (QU9RV6EQVOUJRV124I8C.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{7C384C47-EEEA-499C-A2D3-B6FA213F0DFE}.tmp) | 1a8c6cbef480c9c5fddb25bd139d962ee3eee3bf8dcfd426c6806d796d58b2ef (~$cument needed.doc) | eb6b18adeeb677dc169d854781fcc2836e76358d919e386a85847f2e264cf2bc (1570885628.cvr),Unknown,https://www.hybrid-analysis.com/sample/45e634eb141a5588de9ff361ddbb0520e2867e54a021209b6a475031ca05780f?environmentId=100
hxxp://digital[.]syd[.]fr/Invoice-receipt/,/Invoice-receipt/,application/msword,b711729dc47dfe7971cdd721f1f946fd,45e634eb141a5588de9ff361ddbb0520e2867e54a021209b6a475031ca05780f,downloaded from site,,,file never seen,banker | emotet,application/msword,173.201.1.1 | 103.233.58.6 | 192.169.195.219 | 37.128.146.91 | 54.227.38.29 | 37.97.239.30 | 61.19.254.63 | 139.59.103.116 | 203.198.129.4,lacure-maroc.com,070bd11d546ff0c12c89b57190b92a2dbc942c7bcd01b0274758552272e5b2b3 (247951.exe) | 3882a3e04d6cf66707b31c8cb14a7c9fe512d10dd355f97a37e8666270f6e17d (~$en Past Due Orders.doc) | a7aefc8cf099c52250f1f2b48471cb8f47e9df115c8ea4039dcb1dc91b960b10 (MSO1049.acl) | acd1c81022fc363e1a964db216291977f741e52a87245d78a113e2dd1a1b175d (Open Past Due Orders.LNK) | 1d0219029e3961f3316eed03ccd6023d431378e802c125a56e96006c0c9c33e3 (index.dat) | 3882a3e04d6cf66707b31c8cb14a7c9fe512d10dd355f97a37e8666270f6e17d (~$Normal.dotm) | 35ba01bcd727ac01f07e6187574abdd64ffdacea2038d678076d669aebcf9dd0 (DH5POSQHZBNGGWZ1FW9V.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{E97E4ECC-19C4-4DBE-B577-225864046C39}.tmp),Unknown,https://www.hybrid-analysis.com/sample/45e634eb141a5588de9ff361ddbb0520e2867e54a021209b6a475031ca05780f?environmentId=120
hxxp://dobdom[.]su/ACH-FORM/RCU-727234266420/,/ACH-FORM/RCU-727234266420/,application/msword,f452b676fd8a597f0ce72237d194425c,1f4a957b82e1bc436ee2b4de6c306648e5495344fed26e893f0e12935d6ec853,downloaded from site,71839333572e0e0d8c787401e43f94ee,1f5d5052d3adcfc9b05f321306b52ea74d91423f5320cc8007e7bbf65dc703f2,hxxps://www[.]virustotal[.]com/#/file/1f5d5052d3adcfc9b05f321306b52ea74d91423f5320cc8007e7bbf65dc703f2/detection,,application/msword,,,d787167eed31bf5cb65d4c55fbd4db410ddd18ecca459ca4d2c877861c70e4c8 (RK-124402734457196.LNK) | 8cd494ae5ae58f1f876fb43bc40594bdd286451cc071a10c8a3094735a4df457 (index.dat) | a072ea02f401dbaceead09723b9ac53043adb3ca5320a47eabe529add4d22886 (~$Normal.dotm) | 19ee357c9b342ff7155025ec08aefc19a2d35091e0a8f2ea6586f7cf9bf470ed (N8X324WKIPFE56RPGYID.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{7E63BCAC-CCD7-4D77-A00D-DADBDA34F3FD}.tmp) | a072ea02f401dbaceead09723b9ac53043adb3ca5320a47eabe529add4d22886 (~$-124402734457196.doc) | f95bb8be6de69f0db321e39a1bc0b8d2f5aa1e9552ae3a1b3f0d004667a37601 (1571074556.cvr),Unknown,https://www.hybrid-analysis.com/sample/1f4a957b82e1bc436ee2b4de6c306648e5495344fed26e893f0e12935d6ec853?environmentId=100
hxxp://dobdom[.]su/ACH-FORM/RCU-727234266420/,/ACH-FORM/RCU-727234266420/,application/msword,f452b676fd8a597f0ce72237d194425c,1f4a957b82e1bc436ee2b4de6c306648e5495344fed26e893f0e12935d6ec853,downloaded from site,71839333572e0e0d8c787401e43f94ee,1f5d5052d3adcfc9b05f321306b52ea74d91423f5320cc8007e7bbf65dc703f2,hxxps://www[.]virustotal[.]com/#/file/1f5d5052d3adcfc9b05f321306b52ea74d91423f5320cc8007e7bbf65dc703f2/detection,,,,,,,file never seen
hxxp://ds04[.]projectstatus[.]co[.]uk/totalwirelessdat/modules/INVOICE/TH-7449152285/,/totalwirelessdat/modules/INVOICE/TH-7449152285/,application/msword,02244fbf2ba61afdf461f5e8cfdb19f4,f9c8b231fa050a7acc7b6da5171554068dfedd235ad9bd320c2cb0a9eff3b251,downloaded from site,42f1d63443de9ade556c4b317e72de30,d20e4e9eb79b56bd78fe75d98bdd925b61961107567eae33c3bc6a34b990c614,hxxps://www[.]virustotal[.]com/#/file/d20e4e9eb79b56bd78fe75d98bdd925b61961107567eae33c3bc6a34b990c614/detection,,application/msword,144.76.35.68 | 198.12.152.123,daeihagh.ir,9b0c9e35c94607939b04edb6e4ff65e14117c72e2bd9428e5f4701b733f12d6e (154172.exe) | 917b3461e9040fa511e7cd4d86a9a5fd3088c8baa08dd21fe2e43d74bfb52715 (WMY-35663089.LNK) | ce0f623521dce059e9aea578e2d15d8c871e0f0c048c5e327cfb0d5161184917 (index.dat) | 045184a4341699608364fc8c111fb4d38d767bc5c781f57b710d1f4a434b719f (~$Normal.dotm) | 0131c3a39eb958ed177a913929e0fc3fac4e5c409cd6a99f7986ad931183fc8d (PFPZO2HZTHP3X9MARXRC.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{ADC25CBA-7011-4367-9997-3F1219B1DF40}.tmp) | 045184a4341699608364fc8c111fb4d38d767bc5c781f57b710d1f4a434b719f (~$Y-35663089.doc),Unknown,https://www.hybrid-analysis.com/sample/f9c8b231fa050a7acc7b6da5171554068dfedd235ad9bd320c2cb0a9eff3b251?environmentId=100
hxxp://ds04[.]projectstatus[.]co[.]uk/totalwirelessdat/modules/INVOICE/TH-7449152285/,/totalwirelessdat/modules/INVOICE/TH-7449152285/,application/msword,02244fbf2ba61afdf461f5e8cfdb19f4,f9c8b231fa050a7acc7b6da5171554068dfedd235ad9bd320c2cb0a9eff3b251,downloaded from site,42f1d63443de9ade556c4b317e72de30,d20e4e9eb79b56bd78fe75d98bdd925b61961107567eae33c3bc6a34b990c614,hxxps://www[.]virustotal[.]com/#/file/d20e4e9eb79b56bd78fe75d98bdd925b61961107567eae33c3bc6a34b990c614/detection,banker | emotet,application/msword,88.221.234.34 | 88.221.234.51 | 23.62.197.99 | 144.76.35.68 | 198.12.152.123 | 149.62.173.247 | 61.19.254.63 | 203.198.129.4 | 185.4.74.140 | 158.58.170.24 | 185.46.168.126 | 217.13.106.241,daeihagh.ir,b3300c0096644bb023f8f366c14d027a717622b3fa22a84bb4698251bc6a590a (203693.exe) | 3882a3e04d6cf66707b31c8cb14a7c9fe512d10dd355f97a37e8666270f6e17d (~$RE-FORM-EFV-2308008.doc) | b3044c0d3a161717d929d15062d6ea2853ed0e366d7955688b872a6ba3c6d9e6 (WIRE-FORM-EFV-2308008.LNK) | 784186ec5f2a99c2be3e3c65ee03124afbbe72d4fea9e907ee887ea8aa1fe0b7 (index.dat) | 3882a3e04d6cf66707b31c8cb14a7c9fe512d10dd355f97a37e8666270f6e17d (~$Normal.dotm) | 7bf9f8c479927261ed0f02b435ad56b13f137db4703c2f65bd7eaaa39a13c32b (KJHB6VUEOH1TMW72PB28.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{A724F809-7FF8-4F18-B1A1-80C71D8C947C}.tmp),Unknown,https://www.hybrid-analysis.com/sample/f9c8b231fa050a7acc7b6da5171554068dfedd235ad9bd320c2cb0a9eff3b251?environmentId=120
hxxp://dworkociolek[.]pl//INV/COA-816676452701857/,//INV/COA-816676452701857/,application/msword,70bfc545f0232149b13206c4574077de,3adbbc7877109c4039f59394fcb73f89fcbccf8ceabbbd4b043f332587f80e35,downloaded from site,70bfc545f0232149b13206c4574077de,3adbbc7877109c4039f59394fcb73f89fcbccf8ceabbbd4b043f332587f80e35,hxxps://www[.]virustotal[.]com/#/file/3adbbc7877109c4039f59394fcb73f89fcbccf8ceabbbd4b043f332587f80e35/detection,,application/msword,,,3cd0a6c47a495f81ff4afed01914b440a541fefc03c60b144168e75b26feb4cd (QBT-9481080202.LNK) | d7b97205e833df21375c404cd9ac8899e6aa4366aba8338a12e49cae3bfed84f (index.dat) | 347752bec8c306bcc3c018d71f6777abb221c332959c3ca93df4f4002f4eb0ff (~$Normal.dotm) | b4504d356226b963d177dfe41f43a4df1df4cd2e2094fe259a21bcd168d9d225 (IA684TSURM6ME4AEAWRL.temp) | 4826c0d860af884d3343ca6460b0006a7a2ce7dbccc4d743208585d997cc5fd1 (~WRS{D37AECFC-14EC-476D-B990-73B172F88862}.tmp) | 347752bec8c306bcc3c018d71f6777abb221c332959c3ca93df4f4002f4eb0ff (~$T-9481080202.doc),Unknown,https://www.hybrid-analysis.com/sample/3adbbc7877109c4039f59394fcb73f89fcbccf8ceabbbd4b043f332587f80e35?environmentId=100
hxxp://dworkociolek[.]pl//INV/COA-816676452701857/,//INV/COA-816676452701857/,application/msword,70bfc545f0232149b13206c4574077de,3adbbc7877109c4039f59394fcb73f89fcbccf8ceabbbd4b043f332587f80e35,downloaded from site,70bfc545f0232149b13206c4574077de,3adbbc7877109c4039f59394fcb73f89fcbccf8ceabbbd4b043f332587f80e35,hxxps://www[.]virustotal[.]com/#/file/3adbbc7877109c4039f59394fcb73f89fcbccf8ceabbbd4b043f332587f80e35/detection,,,,,,,file never seen
hxxp://www[.]feelingnoir[.]com/INVOICE/WQV-7800280777923/,/INVOICE/WQV-7800280777923/,text/html,729c0713e3cfb61ab37f2c06451d71e5,8bf7530288c27083d3d27c469a7edd24a8c979de1e19e6ba9e852c666091c893,downloaded from site,,,file never seen,,,,,,,file never seen
hxxp://www[.]frauzett[.]de/ACH-FORM/UQ-605127775/,/ACH-FORM/UQ-605127775/,text/html,6f488c57fe66373532096362da37b0d5,9388b9145d05c3fe6480ff788e0f1676c29a9922f8c48808a9291bd83a9bb999,downloaded from site,,,file never seen,,,,,,,file never seen
